OrderID,OrderDate,ProductID,ProductName,Category,Brand,SubCategory,Price,Quantity,Revenue,DiscountPercent,DiscountAmount,FinalRevenue,CustomerID,CustomerName,City,State,Region,SalesChannel,PaymentMethod
O0,2025-04-18,P009,LED Monitor,Electronics,Samsung,Display,2853.54,4,11414.16,7,798.99,10615.17,CUST3975,Customer_5698,Kolkata,West Bengal,South,JioMart,Debit Card
O1,2025-01-30,P006,Running Shoes,Fashion,Nike,Footwear,4994.69,4,19978.76,16,3196.6,16782.16,CUST2007,Customer_4562,Rajkot,Gujarat,Central,Amazon,Debit Card
O2,2025-09-23,P007,Water Bottle,Fitness,Decathlon,Accessories,3013.11,4,12052.44,38,4579.93,7472.51,CUST5340,Customer_44,New Delhi,Delhi,Central,Meesho,Debit Card
O3,2025-09-11,P010,Keyboard Mouse Combo,Electronics,Logitech,Accessories,2467.51,4,9870.04,9,888.3,8981.74,CUST1372,Customer_1549,Mysuru,Karnataka,South,Meesho,Paytm
O4,2025-06-07,P005,Laptop Bag,Accessories,Dell,Bags,3835.33,1,3835.33,31,1188.95,2646.38,CUST2108,Customer_3035,Nagpur,Maharashtra,West,Website,Paytm
O5,2025-12-28,P009,LED Monitor,Electronics,Samsung,Display,3344.88,2,6689.76,13,869.67,5820.09,CUST9843,Customer_6021,Ahmedabad,Gujarat,South,Amazon,UPI
O6,2025-10-02,P007,Water Bottle,Fitness,Decathlon,Accessories,1816.11,4,7264.44,23,1670.82,5593.62,CUST2907,Customer_2647,Lucknow,Uttar Pradesh,West,Flipkart,Cash on Delivery
O7,2025-11-12,P001,Wireless Earphones,Electronics,boAt,Audio,491.06,4,1964.24,27,530.34,1433.9,CUST9514,Customer_2175,Nashik,Maharashtra,North,JioMart,Cash on Delivery
O8,2025-10-15,P005,Laptop Bag,Accessories,Dell,Bags,2643.4,1,2643.4,7,185.04,2458.36,CUST1053,Customer_1030,Bengaluru,Karnataka,North,Amazon,Cash on Delivery
O9,2025-03-19,P010,Keyboard Mouse Combo,Electronics,Logitech,Accessories,1613.9,4,6455.6,27,1743.01,4712.59,CUST5626,Customer_4667,Nashik,Maharashtra,East,Website,PhonePe
O10,2025-11-19,P005,Laptop Bag,Accessories,Dell,Bags,4017.48,4,16069.92,30,4820.98,11248.94,CUST1316,Customer_5823,Coimbatore,Tamil Nadu,Central,Website,Debit Card
